emp_no,last_name,first_name,gender,salary,to_date
67594,Aingworth,Jiann,M,49158,9999-01-01
96308,Aingworth,Nigel,M,94821,9999-01-01
211655,Aingworth,Giap,F,40000,9999-01-01
211301,Aingworth,Khalid,F,87400,9999-01-01
299034,Aingworth,Chenxi,M,61699,9999-01-01
283019,Aingworth,Narain,M,40000,9999-01-01
67574,Aingworth,Lijie,F,40000,9999-01-01
28976,Aingworth,Kazuhiko,F,40000,9999-01-01
234604,Aingworth,Patricia,M,47619,9999-01-01
404085,Aingworth,Moie,F,61567,9999-01-01
477990,Aingworth,Alejandra,F,40000,9999-01-01
259313,Aingworth,Masadi,F,66604,9999-01-01
251804,Akaboshi,Shir,F,40000,9999-01-01
274427,Akaboshi,Guther,M,67320,9999-01-01
68769,Akaboshi,Gill,M,65192,9999-01-01
95248,Akaboshi,Tsuneo,M,41712,9999-01-01
41798,Akaboshi,Margareta,F,46925,9999-01-01
456657,Akaboshi,Frederique,M,86823,9999-01-01
448131,Akaboshi,Aloys,M,67857,9999-01-01
248973,Akaboshi,Slavian,M,56807,9999-01-01
455335,Akaboshi,Hisao,M,40000,9999-01-01
226896,Akaboshi,Yurij,M,63030,9999-01-01
243820,Akaboshi,Chiranjit,F,59961,9999-01-01
423907,Akaboshi,Sanjit,M,65233,9999-01-01
441429,Akaboshi,Ewing,F,54969,9999-01-01
202175,Akaboshi,Dzung,F,54832,9999-01-01
252934,Akaboshi,Zhenhua,M,52755,9999-01-01
212346,Akaboshi,Arve,F,40000,9999-01-01
210940,Akaboshi,Pasqua,M,40000,9999-01-01
18664,Akaboshi,Itzchak,F,55929,9999-01-01
298177,Akaboshi,Quingbo,F,75057,9999-01-01
283289,Akaboshi,Yechezkel,M,57361,9999-01-01
287982,Akaboshi,Stepehn,M,41759,9999-01-01
411330,Akaboshi,Gennady,F,50959,9999-01-01
99481,Akaboshi,Arnd,M,81880,9999-01-01
268778,Akazan,Guadalupe,F,71783,9999-01-01
231876,Akazan,Abdelkader,M,40000,9999-01-01
410563,Akazan,Magy,M,70811,9999-01-01
411882,Akazan,Youjian,M,40000,9999-01-01
438153,Akazan,Fan,F,40000,9999-01-01
200196,Akazan,Xuejia,F,58069,9999-01-01
220413,Akazan,Jordanka,M,40000,9999-01-01
478058,Akazan,Collette,M,88043,9999-01-01
203816,Akazan,Avishai,M,40000,9999-01-01
448524,Akazan,Kwangsub,F,51608,9999-01-01
30425,Akazan,Rimli,M,86775,9999-01-01
240587,Akazan,Zorica,F,74060,9999-01-01
252510,Akazan,Bedir,M,44094,9999-01-01
204838,Akazan,Kannan,M,40000,9999-01-01
53154,Akazan,Chaosheng,M,40000,9999-01-01
18775,Akazan,Shay,M,62152,9999-01-01
33563,Akazan,Sastry,F,40000,9999-01-01
240218,Akazan,Yonghong,M,40138,9999-01-01
95474,Akazan,Guiseppe,F,40000,9999-01-01
206847,Akazan,Luise,F,71871,9999-01-01
270299,Akazan,Genta,F,40000,9999-01-01
480432,Akiyama,Domenick,M,40000,9999-01-01
292183,Akiyama,Shahar,F,46478,9999-01-01
484602,Akiyama,Kenroku,M,64415,9999-01-01
288730,Akiyama,Junsik,M,46794,9999-01-01
240217,Akiyama,Ger,M,73188,9999-01-01
253896,Akiyama,Mayuri,F,84103,9999-01-01
78153,Akiyama,Kwan,M,40000,9999-01-01
243435,Akiyama,Moriyoshi,F,66075,9999-01-01
405663,Akiyama,Utz,M,40000,9999-01-01
279880,Akiyama,Surveyors,M,59888,9999-01-01
89448,Akiyama,Vidya,M,41561,9999-01-01
89353,Akiyama,Mostafa,M,40000,9999-01-01
251124,Akiyama,Owen,F,53964,9999-01-01
258328,Akiyama,Peternela,M,40000,9999-01-01
88015,Akiyama,Dmitry,F,47801,9999-01-01
243923,Akiyama,Owen,F,40000,9999-01-01
460238,Akiyama,Yucai,M,70957,9999-01-01
98832,Akiyama,Margo,M,40000,9999-01-01
412602,Akiyama,Kasidit,F,40714,9999-01-01
232686,Akiyama,Kazuhiko,F,52341,9999-01-01
90582,Akiyama,Tuval,F,42538,9999-01-01
96417,Akiyama,Bouchung,M,40000,9999-01-01
79509,Akiyama,Vitaly,F,96991,9999-01-01
94496,Akiyama,Sungwon,M,40414,9999-01-01
284762,Akiyama,Chinho,F,62248,9999-01-01
65131,Akiyama,Shakhar,M,101208,9999-01-01
213801,Alameldin,Aruna,M,75543,9999-01-01
98977,Alameldin,Richara,M,52810,9999-01-01
297218,Alameldin,Teruyuki,M,46998,9999-01-01
75370,Alameldin,Kwee,F,71492,9999-01-01
464871,Alameldin,Tze,M,40190,9999-01-01
40631,Alameldin,Frazer,M,40000,9999-01-01
94464,Alameldin,Weicheng,F,40000,9999-01-01
427783,Alameldin,Gennady,M,66443,9999-01-01
216038,Alameldin,Nahla,M,40000,9999-01-01
45390,Alameldin,Sedat,F,56817,9999-01-01
109334,Alameldin,Tsutomu,M,123668,9999-01-01
412516,Alameldin,Lenore,M,56496,9999-01-01
88924,Alameldin,Qiwen,M,40000,9999-01-01
107285,Alameldin,Valeri,F,40981,9999-01-01
476396,Alameldin,Gaurav,F,42393,9999-01-01
20836,Alameldin,Jingling,M,84293,9999-01-01
403285,Alameldin,Geoff,F,81361,9999-01-01
251621,Alameldin,Mitchel,M,50179,9999-01-01
256617,Alameldin,Mohan,M,41602,9999-01-01
475634,Alameldin,Alagu,F,40000,9999-01-01
460348,Alameldin,Utz,M,56857,9999-01-01
64151,Alameldin,Rasikan,M,58265,9999-01-01
400372,Albarhamtoshy,Henk,F,40762,9999-01-01
22755,Albarhamtoshy,Marla,M,63264,9999-01-01
420493,Albarhamtoshy,Yuriy,F,40686,9999-01-01
294223,Albarhamtoshy,Pantung,M,74184,9999-01-01
61920,Albarhamtoshy,Ghassan,M,50457,9999-01-01
211541,Albarhamtoshy,Perry,F,57371,9999-01-01
225546,Albarhamtoshy,Marl,F,55122,9999-01-01
482135,Albarhamtoshy,Aris,M,40000,9999-01-01
495390,Albarhamtoshy,Ottavia,M,60955,9999-01-01
221878,Albarhamtoshy,Phillip,M,40000,9999-01-01
261569,Albarhamtoshy,Thodoros,F,81187,9999-01-01
66961,Albarhamtoshy,Lech,M,67854,9999-01-01
78410,Albarhamtoshy,Sreenivas,M,46478,9999-01-01
233966,Albarhamtoshy,Shimshon,F,89348,9999-01-01
19621,Albarhamtoshy,Radhakrishnan,M,40000,9999-01-01
59413,Albarhamtoshy,Huei,M,77080,9999-01-01
496077,Albarhamtoshy,Anyuan,M,75313,9999-01-01
45552,Albarhamtoshy,Aloys,F,69599,9999-01-01
223450,Albarhamtoshy,Teunis,M,54832,9999-01-01
462231,Albarhamtoshy,Anneke,F,85178,9999-01-01
31533,Albarhamtoshy,Trygve,M,68960,9999-01-01
206053,Alblas,Tsuneo,M,74187,9999-01-01
298150,Alblas,Sachio,M,64394,9999-01-01
286771,Alblas,Make,F,40000,9999-01-01
265872,Alblas,Reuven,M,40000,9999-01-01
36355,Alblas,Aleksandar,M,56593,9999-01-01
259541,Alblas,Jaber,M,57690,9999-01-01
245790,Alblas,Yongmao,F,57246,9999-01-01
288274,Alblas,Selwyn,F,40000,9999-01-01
459248,Alblas,Mingsen,F,40000,9999-01-01
28487,Alblas,Ziva,M,71338,9999-01-01
293050,Alblas,Sanjai,M,40000,9999-01-01
433926,Alblas,Xiaobin,F,41355,9999-01-01
244078,Alblas,Gurbir,F,57846,9999-01-01
457846,Alblas,Krisda,F,77839,9999-01-01
67006,Alblas,Elvia,M,40000,9999-01-01
230321,Alencar,Gunilla,M,50835,9999-01-01
402804,Alencar,Kish,M,40000,9999-01-01
40511,Alencar,Radhia,M,45087,9999-01-01
105162,Alencar,Heon,M,46346,9999-01-01
454340,Alencar,Amabile,M,43443,9999-01-01
60638,Alencar,Makato,M,40000,9999-01-01
90277,Alencar,Conor,M,43343,9999-01-01
227910,Alencar,Saniya,M,70848,9999-01-01
36272,Alencar,Valeri,M,66936,9999-01-01
473947,Alencar,Van,M,48552,9999-01-01
13302,Alencar,Mack,F,40000,9999-01-01
256099,Alencar,Kersti,F,46302,9999-01-01
482306,Alencar,Kiyomitsu,F,70984,9999-01-01
53418,Alencar,Hiroyasu,M,90427,9999-01-01
257953,Alencar,Kwangyoen,M,76071,9999-01-01
62900,Alencar,Gio,M,42772,9999-01-01
447985,Alencar,Sedat,M,60459,9999-01-01
416018,Aloia,Fen,F,62768,9999-01-01
287666,Aloia,Jaber,M,57938,9999-01-01
495432,Aloia,Halsur,M,50347,9999-01-01
27203,Aloia,Conal,F,57122,9999-01-01
288075,Aloia,Nectarios,F,61308,9999-01-01
48375,Aloia,Jaques,M,41710,9999-01-01
65280,Aloia,Arun,M,79785,9999-01-01
59919,Aloia,Koichi,M,40493,9999-01-01
222836,Aloia,Ishfaq,M,76341,9999-01-01
289170,Aloia,Taizo,F,52890,9999-01-01
246997,Aloia,Jaewon,M,40000,9999-01-01
483434,Aloia,Georgy,F,80584,9999-01-01
221882,Aloia,Sahrah,M,76346,9999-01-01
456007,Aloia,Souichi,M,63030,9999-01-01
81672,Aloia,Kazuhito,M,40000,9999-01-01
233602,Aloia,Ulf,M,59483,9999-01-01
471529,Aloia,Munir,M,76906,9999-01-01
76761,Aloia,Raimond,M,72745,9999-01-01
81817,Aloia,Demos,M,76190,9999-01-01
408881,Aloia,Christophe,F,51437,9999-01-01
258621,Aloia,Arne,M,43619,9999-01-01
210624,Aloia,Poornachandra,M,40000,9999-01-01
64904,Aloia,Xiaocheng,F,41045,9999-01-01
250260,Aloia,Baoqiu,F,58362,9999-01-01
14509,Aloia,Danil,M,40000,9999-01-01
31658,Aloia,Byong,F,62574,9999-01-01
267411,Aloia,Gio,M,62412,9999-01-01
465194,Aloia,Yechiam,M,67722,9999-01-01
241169,Aloia,Parke,M,73891,9999-01-01
36874,Aloia,Genki,F,62935,9999-01-01
15971,Aloia,Arumugam,M,42963,9999-01-01
88890,Aloisi,Pranjal,F,75936,9999-01-01
10157,Aloisi,Nigel,M,48770,9999-01-01
250493,Aloisi,Woody,F,47561,9999-01-01
486393,Aloisi,Kristinn,M,43698,9999-01-01
484188,Aloisi,Aimee,M,40000,9999-01-01
409694,Aloisi,Chenye,M,89337,9999-01-01
418471,Aloisi,Xiaoheng,F,72191,9999-01-01
453491,Aloisi,Theirry,M,40000,9999-01-01
283854,Aloisi,Richara,M,46336,9999-01-01
460355,Aloisi,Jeanna,F,75553,9999-01-01
237134,Aloisi,Nitsan,F,48296,9999-01-01
21926,Aloisi,Boguslaw,F,73514,9999-01-01
415731,Aloisi,Uta,M,40000,9999-01-01
286991,Aloisi,Perla,F,46913,9999-01-01
276272,Aloisi,Sverrir,M,42317,9999-01-01
277789,Aloisi,Katsuyuki,M,63486,9999-01-01
30209,Aloisi,Yannis,F,89176,9999-01-01
294719,Aloisi,Kwok,M,50308,9999-01-01
215616,Aloisi,Sachar,M,40000,9999-01-01
453734,Aloisi,Junsik,F,40000,9999-01-01
274066,Aloisi,Navin,F,65483,9999-01-01
285961,Aloisi,Tristan,M,40000,9999-01-01
228246,Aloisi,Bartek,F,71581,9999-01-01
275606,Alpay,Stamatina,F,40000,9999-01-01
431751,Alpay,Isaac,M,40000,9999-01-01
227578,Alpay,Randy,M,53765,9999-01-01
232031,Alpay,Zvonko,F,58388,9999-01-01
102870,Alpay,Marsal,F,48805,9999-01-01
457652,Alpay,Weiru,F,51263,9999-01-01
225965,Alpay,Dhritiman,M,47118,9999-01-01
415282,Alpay,Frazer,F,40000,9999-01-01
51250,Alpay,Leah,F,49618,9999-01-01
457722,Alpay,Arco,F,40000,9999-01-01
480994,Alpay,Berry,M,50832,9999-01-01
221262,Alpay,Chenxi,F,40000,9999-01-01
222506,Alpay,Xudong,M,67952,9999-01-01
48840,Alpay,Gay,M,55885,9999-01-01
405888,Alpay,Leucio,F,59958,9999-01-01
292770,Alpay,Zhilian,M,52819,9999-01-01
108262,Alpay,Yannis,F,44889,9999-01-01
414666,Alpay,Fai,M,51501,9999-01-01
224723,Alpay,Guadalupe,M,40000,9999-01-01
404064,Alpay,Tadanori,M,83520,9999-01-01
96046,Alpin,Urs,F,40000,9999-01-01
418000,Alpin,Yuichiro,M,82805,9999-01-01
52411,Alpin,Elvis,M,40978,9999-01-01
465547,Alpin,Bernice,M,76663,9999-01-01
464942,Alpin,Shiv,F,78438,9999-01-01
414099,Alpin,Sadok,F,40000,9999-01-01
263640,Alpin,Gina,M,48151,9999-01-01
433873,Alpin,Uwe,M,40689,9999-01-01
15504,Alpin,Kasturi,M,40000,9999-01-01
269039,Alpin,Lenore,F,50571,9999-01-01
45514,Alpin,Jessie,M,79268,9999-01-01
89598,Alpin,Nectarios,F,40000,9999-01-01
215008,Alpin,Mechthild,M,56002,9999-01-01
240711,Alpin,Kokou,M,48524,9999-01-01
485192,Alpin,Ronghao,F,43500,9999-01-01
272214,Alpin,Yurij,F,40000,9999-01-01
236038,Alpin,Aiichiro,M,40000,9999-01-01
272093,Alpin,Boalin,M,76739,9999-01-01
460613,Alpin,Odysseas,M,54265,9999-01-01
242494,Alpin,Nevio,M,40000,9999-01-01
213327,Alpin,Shiv,M,40000,9999-01-01
88089,Alpin,Kwok,M,59990,9999-01-01
282121,Alpin,Barton,M,45716,9999-01-01
299973,Alpin,Utpal,F,63007,9999-01-01
484694,Alvarado,Salvador,M,42958,9999-01-01
82823,Alvarado,Geraldo,F,56430,9999-01-01
432589,Alvarado,Baziley,F,46216,9999-01-01
252378,Alvarado,Owen,F,56711,9999-01-01
252272,Alvarado,Kwan,F,65282,9999-01-01
423986,Alvarado,Debatosh,M,40000,9999-01-01
487075,Alvarado,Nevio,M,66828,9999-01-01
23323,Alvarado,Siamak,F,48952,9999-01-01
88681,Alvarado,Genta,F,40000,9999-01-01
50449,Alvarado,Jagoda,F,75644,9999-01-01
88825,Alvarado,Fun,M,64077,9999-01-01
284030,Alvarado,Geraldo,M,59408,9999-01-01
240927,Alvarado,Adit,F,47712,9999-01-01
418504,Alvarado,Candida,F,77157,9999-01-01
444094,Alvarado,Radhakrishnan,M,48898,9999-01-01
209834,Alvarado,Nitsan,M,60785,9999-01-01
12662,Alvarado,Leucio,M,69016,9999-01-01
78155,Alvarado,Hironoby,M,46859,9999-01-01
96129,Alvarado,Aloys,F,66470,9999-01-01
68570,Alvarado,Kamakshi,F,40000,9999-01-01
80801,Ambroszkiewicz,Bluma,M,71885,9999-01-01
76142,Ambroszkiewicz,Nikolaos,F,88018,9999-01-01
27381,Ambroszkiewicz,Eirik,M,42709,9999-01-01
104163,Ambroszkiewicz,Yishay,M,49990,9999-01-01
431818,Ambroszkiewicz,Chaitali,M,40000,9999-01-01
245688,Ambroszkiewicz,Mrinalini,F,49561,9999-01-01
499671,Ambroszkiewicz,Jayesh,M,61812,9999-01-01
42047,Ambroszkiewicz,Sahrah,M,44306,9999-01-01
478296,Ambroszkiewicz,Kousuke,M,48924,9999-01-01
234603,Ambroszkiewicz,Deniz,F,40000,9999-01-01
98128,Ambroszkiewicz,Kazuhisa,M,81633,9999-01-01
440247,Ambroszkiewicz,Geoff,M,40000,9999-01-01
74164,Ambroszkiewicz,Yakichi,F,48103,9999-01-01
224837,Ambroszkiewicz,Yahiko,M,40723,9999-01-01
416924,Ambroszkiewicz,Vishwani,F,93361,9999-01-01
15687,Ambroszkiewicz,Dekang,M,62333,9999-01-01
284056,Ambroszkiewicz,Tze,F,63252,9999-01-01
287624,Ambroszkiewicz,Francesca,F,88765,9999-01-01
32626,Ambroszkiewicz,Ulf,M,57195,9999-01-01
107892,Ambroszkiewicz,Aral,M,40000,9999-01-01
250816,Ambroszkiewicz,Kazuhide,F,40344,9999-01-01
499429,Ambroszkiewicz,Gad,M,74274,9999-01-01
70090,Anandan,Oldrich,M,49598,9999-01-01
242920,Anandan,Tuval,F,49707,9999-01-01
30655,Anandan,Xuedong,M,74391,9999-01-01
464454,Anandan,Rosalyn,M,61684,9999-01-01
36303,Anandan,Amstein,F,52644,9999-01-01
431721,Anandan,Aluzio,F,42314,9999-01-01
284705,Anandan,Gila,F,40000,9999-01-01
100569,Anandan,Sreekrishna,F,51999,9999-01-01
466758,Anandan,Hugo,M,41047,9999-01-01
291385,Anandan,Khun,F,84404,9999-01-01
289461,Anandan,Sergi,M,40000,9999-01-01
458676,Anandan,Sanjiv,F,40000,9999-01-01
475687,Anandan,Aimee,M,81378,9999-01-01
23466,Anandan,Chikara,F,56208,9999-01-01
289765,Anandan,Kensei,F,67710,9999-01-01
456258,Anandan,Kristian,M,46076,9999-01-01
403593,Anandan,Lucian,F,46191,9999-01-01
271915,Anandan,Zhenbing,M,40287,9999-01-01
296182,Anandan,Snehasis,M,54060,9999-01-01
412012,Anandan,Mara,F,70434,9999-01-01
255534,Ananiadou,Kauko,F,47081,9999-01-01
46335,Ananiadou,Shuji,M,40000,9999-01-01
76408,Ananiadou,JiYoung,M,52122,9999-01-01
22682,Ananiadou,Kristina,M,40000,9999-01-01
23707,Ananiadou,Yoshimitsu,M,46238,9999-01-01
273663,Ananiadou,Bartek,M,88441,9999-01-01
93049,Ananiadou,Christoper,F,45717,9999-01-01
108375,Ananiadou,Greger,M,41508,9999-01-01
298365,Ananiadou,Mabhin,F,47890,9999-01-01
292831,Ananiadou,Subhankar,M,40000,9999-01-01
431078,Ananiadou,Adib,M,73990,9999-01-01
255168,Ananiadou,Ziva,M,85000,9999-01-01
217561,Ananiadou,Kiyotoshi,M,62988,9999-01-01
44507,Ananiadou,Toong,M,40000,9999-01-01
297776,Ananiadou,Utpal,F,60011,9999-01-01
498748,Ananiadou,Doowon,F,50089,9999-01-01
25222,Ananiadou,Weicheng,F,45419,9999-01-01
63343,Ananiadou,Mark,M,40000,9999-01-01
415157,Ananiadou,Insup,M,55091,9999-01-01
284156,Ananiadou,Nechama,M,40000,9999-01-01
263822,Ananiadou,Seongbin,F,42793,9999-01-01
78429,Andreotta,Chinhyun,F,60563,9999-01-01
254117,Andreotta,Leen,M,48181,9999-01-01
53464,Andreotta,Odoardo,M,95242,9999-01-01
227850,Andreotta,Visit,F,44685,9999-01-01
22536,Andreotta,Sukumar,M,40000,9999-01-01
102704,Andreotta,Slavian,M,64223,9999-01-01
210330,Andreotta,Bernardo,M,47523,9999-01-01
83540,Andreotta,Rafail,M,44126,9999-01-01
292753,Andreotta,Kwangyoen,F,53855,9999-01-01
67613,Andreotta,Hyuncheol,M,44582,9999-01-01
43073,Andreotta,Urs,F,57625,9999-01-01
237576,Andreotta,Alper,M,40000,9999-01-01
493121,Andreotta,Shigeo,M,53455,9999-01-01
282252,Andreotta,Yurij,M,40000,9999-01-01
418561,Andreotta,Younwoo,M,45156,9999-01-01
426466,Andreotta,Bikash,F,47163,9999-01-01
96318,Andreotta,Berhard,M,41305,9999-01-01
464242,Androutsos,Gen,F,76556,9999-01-01
249324,Androutsos,Chinya,M,40000,9999-01-01
255154,Androutsos,Susanna,F,56696,9999-01-01
228524,Androutsos,Erzsebet,M,40000,9999-01-01
407906,Androutsos,Fatemeh,F,47196,9999-01-01
403959,Androutsos,Aleksander,M,69989,9999-01-01
438570,Androutsos,Chikako,F,41842,9999-01-01
412043,Androutsos,Sajjan,F,40000,9999-01-01
43203,Androutsos,Chuanyi,F,57858,9999-01-01
286590,Androutsos,Aral,F,42292,9999-01-01
91871,Androutsos,Selwyn,M,40000,9999-01-01
57780,Androutsos,Martial,F,57530,9999-01-01
422470,Androutsos,Arvin,F,76640,9999-01-01
443557,Androutsos,Ute,M,57872,9999-01-01
462557,Androutsos,Lobel,F,61742,9999-01-01
105633,Androutsos,Dmitry,M,40000,9999-01-01
56262,Androutsos,Dharmaraja,M,52809,9999-01-01
417830,Androutsos,Geoff,F,55329,9999-01-01
457267,Androutsos,Dung,M,40000,9999-01-01
497968,Androutsos,Tesuro,M,41097,9999-01-01
425251,Angel,Nishit,F,40000,9999-01-01
72587,Angel,Krister,M,77778,9999-01-01
259898,Angel,Lakshmi,M,55327,9999-01-01
14675,Angel,Teunis,F,40000,9999-01-01
72639,Angel,Jiang,F,42552,9999-01-01
231520,Angel,Junichi,F,40000,9999-01-01
60807,Angel,Parke,M,49204,9999-01-01
225307,Angel,Shiv,M,62289,9999-01-01
56368,Angel,Doowon,M,57178,9999-01-01
37087,Angel,Claudi,M,40991,9999-01-01
299091,Angel,Kinh,M,40000,9999-01-01
210984,Angel,Toshiki,M,54314,9999-01-01
445303,Angel,Lillian,M,40000,9999-01-01
443118,Angel,Saeed,M,40000,9999-01-01
240309,Angel,Roselyn,M,46108,9999-01-01
464695,Angel,Lech,F,60781,9999-01-01
200317,Angel,Aleksandar,M,47715,9999-01-01
292519,Angel,Josyula,M,48311,9999-01-01
434602,Angel,Maja,F,49350,9999-01-01
261385,Angel,Roddy,M,57141,9999-01-01
255057,Angel,Ramya,M,40000,9999-01-01
235601,Angel,Fun,F,40000,9999-01-01
442133,Angel,Bernd,M,85908,9999-01-01
451651,Angel,Margareta,M,40000,9999-01-01
278608,Angel,Reuven,M,50813,9999-01-01
271068,Angel,Nahla,M,43819,9999-01-01
473701,Angel,Richard,M,40000,9999-01-01
271980,Angel,Shigenori,F,96207,9999-01-01
98050,Angel,Huai,M,40000,9999-01-01
264171,Angelopoulos,Kristinn,M,52295,9999-01-01
230691,Angelopoulos,Mantis,F,65609,9999-01-01
464534,Angelopoulos,Idoia,F,40000,9999-01-01
230008,Angelopoulos,Sajjan,F,51924,9999-01-01
424724,Angelopoulos,Suebskul,M,40000,9999-01-01
32445,Angelopoulos,Kristian,M,43142,9999-01-01
282776,Angelopoulos,Kenroku,M,71122,9999-01-01
17986,Angelopoulos,Oguz,M,77587,9999-01-01
272861,Angelopoulos,Gonzalo,M,40000,9999-01-01
430477,Angelopoulos,Subhrajyoti,F,43817,9999-01-01
43222,Angelopoulos,Lenore,M,95505,9999-01-01
225941,Angelopoulos,Alenka,M,86425,9999-01-01
251068,Angelopoulos,Aral,M,50782,9999-01-01
296931,Angelopoulos,Baruch,M,40000,9999-01-01
38551,Angelopoulos,Sangeeta,M,40000,9999-01-01
496326,Angelopoulos,Xuejun,M,66283,9999-01-01
23880,Angelopoulos,Hairong,F,40000,9999-01-01
263112,Angelopoulos,Zhiwei,F,64086,9999-01-01
215123,Angelopoulos,Sangeeta,M,75252,9999-01-01
486562,Angelopoulos,Radoslaw,F,52520,9999-01-01
231083,Angelopoulos,Gritta,F,40972,9999-01-01
476315,Angelopoulos,Sushant,M,40000,9999-01-01
437712,Angelopoulos,Domenick,M,72131,9999-01-01
462128,Angelopoulos,Divine,M,40000,9999-01-01
265903,Angelov,Abdelkader,F,49831,9999-01-01
27496,Angelov,Marke,M,40000,9999-01-01
207009,Angelov,Moni,M,48019,9999-01-01
473113,Angelov,Toshimitsu,F,65883,9999-01-01
21214,Angelov,Weiru,F,56646,9999-01-01
62449,Angelov,Jixiang,F,70643,9999-01-01
89480,Angelov,Palash,F,71409,9999-01-01
